city,operator,city_operator,start_date,platform_large_aggregator_clean,platform_local_maas_clean,platform_weak_exposure_type_clean,platform_both_large_and_local_clean,platform_large_only_clean,platform_local_only_clean,platform_membership_type_clean,platforms_large_clean,platforms_local_clean,platforms_weak_clean
AACHEN,TIER,AACHEN_TIER,2024-03-11,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-12,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-13,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-14,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-15,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-16,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-17,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-18,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-19,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-20,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-21,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-22,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-23,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-24,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-25,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-26,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-27,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-28,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-29,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-30,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-03-31,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-01,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-02,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-03,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-04,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-05,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-06,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-10,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-11,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-12,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-13,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-14,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-15,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-16,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-17,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-18,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-19,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-20,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-21,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-22,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-23,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-24,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-25,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-26,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-27,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-28,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-29,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-04-30,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-05-01,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-05-02,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-05-03,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-05-04,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-05-05,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-05-06,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-05-07,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-05-08,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-05-09,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-05-10,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN,TIER,AACHEN_TIER,2024-05-11,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
