term,label,fe_strategy,n_city_drops,n_negative_sig_05,n_positive_sig_05,median_coef,min_coef,max_coef,largest_p
unlock_fee_ge_0_99:local_maas_only,unlock_fee_ge_0_99:Local MaaS only,market_fe,13,13,0,-0.19931882297728576,-0.2248253553741517,-0.1780170199685481,2.7009745969131415e-05
unlock_fee_ge_0_99:local_maas_only,unlock_fee_ge_0_99:Local MaaS only,unit_fe,13,13,0,-0.04351734463402688,-0.047788725661810874,-0.03569122323378536,0.0015834428384180253
unlock_fee_ge_0_99:multi_platform,unlock_fee_ge_0_99:Multi-platform,market_fe,13,9,0,-0.08604104253338406,-0.10185394483303638,-0.053446880033585574,0.14031026843727776
unlock_fee_ge_0_99:multi_platform,unlock_fee_ge_0_99:Multi-platform,unit_fe,13,13,0,-0.08547401221601124,-0.09672247464356357,-0.06843819207537438,1.3404795803710095e-16
unlock_fee_ge_1_00:local_maas_only,unlock_fee_ge_1_00:Local MaaS only,market_fe,13,13,0,-0.20938372575932843,-0.2237683776165957,-0.19238669431197622,4.23644461622203e-06
unlock_fee_ge_1_00:local_maas_only,unlock_fee_ge_1_00:Local MaaS only,unit_fe,13,13,0,-0.03514123393431963,-0.03965841339838524,-0.029722716553809727,0.0031239842220355135
unlock_fee_ge_1_00:multi_platform,unlock_fee_ge_1_00:Multi-platform,market_fe,13,13,0,-0.10672198390180959,-0.1232649321097929,-0.06589139666785415,0.013084620373960697
unlock_fee_ge_1_00:multi_platform,unlock_fee_ge_1_00:Multi-platform,unit_fe,13,13,0,-0.08493753089584603,-0.0927160895652676,-0.07960202051064533,1.8657851357200595e-21
unlock_fee_ge_1_20:local_maas_only,unlock_fee_ge_1_20:Local MaaS only,market_fe,13,13,0,-0.21755992815079864,-0.2370363713898408,-0.19947328947632442,3.004118038061532e-06
unlock_fee_ge_1_20:local_maas_only,unlock_fee_ge_1_20:Local MaaS only,unit_fe,13,13,0,-0.03823289103563723,-0.04375620216520642,-0.030608093247553043,0.00462873769852114
unlock_fee_ge_1_20:multi_platform,unlock_fee_ge_1_20:Multi-platform,market_fe,13,13,0,-0.13542213302209927,-0.1553271386811656,-0.09181416807880571,0.002225436209336212
unlock_fee_ge_1_20:multi_platform,unlock_fee_ge_1_20:Multi-platform,unit_fe,13,13,0,-0.0732735914787969,-0.08386513111386215,-0.06480756283677469,1.6750794882970587e-06
