model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,dropped_city,significant_05,label,estimate,effect_direction
city_sensitivity_unlock_fee_ge_0_99_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.19553077529690993,0.040282071048409154,1.209714532310302e-06,-0.2744821837744755,-0.11657936681934437,14514,97,30,0.7787328626316814,0.775656702205784,all,baseline,,True,unlock_fee_ge_0_99:Local MaaS only,-0.196***,negative
city_sensitivity_unlock_fee_ge_0_99_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.08723401439749293,0.04123431116925305,0.03438151384821328,-0.1680517792165466,-0.006416249578439254,14514,97,30,0.7787328626316814,0.775656702205784,all,baseline,,True,unlock_fee_ge_0_99:Multi-platform,-0.087*,negative
city_sensitivity_unlock_fee_ge_0_99_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.04254828413514152,0.01212904970316341,0.0004515481318242704,-0.06632078472003804,-0.018775783550245003,14514,97,30,0.9003532038914102,0.8985639368784482,all,baseline,,True,unlock_fee_ge_0_99:Local MaaS only,-0.043***,negative
city_sensitivity_unlock_fee_ge_0_99_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.08499490820534687,0.009363615277185544,1.1145847287825255e-19,-0.10334725691371957,-0.06664255949697417,14514,97,30,0.9003532038914102,0.8985639368784482,all,baseline,,True,unlock_fee_ge_0_99:Multi-platform,-0.085***,negative
city_sensitivity_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.20478574972393856,0.038737038255303384,1.24636668341333e-07,-0.2807089495720835,-0.12886254987579365,14514,97,30,0.7781129240686021,0.7750281449635058,all,baseline,,True,unlock_fee_ge_1_00:Local MaaS only,-0.205***,negative
city_sensitivity_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.1062937646859662,0.035597571268325114,0.002826677844079628,-0.17606372230898124,-0.036523807062951164,14514,97,30,0.7781129240686021,0.7750281449635058,all,baseline,,True,unlock_fee_ge_1_00:Multi-platform,-0.106**,negative
city_sensitivity_unlock_fee_ge_1_00_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.034555524672949096,0.009990801766054727,0.0005427208259218505,-0.05413713631109553,-0.014973913034802666,14514,97,30,0.9004294179043248,0.898641519397171,all,baseline,,True,unlock_fee_ge_1_00:Local MaaS only,-0.035***,negative
city_sensitivity_unlock_fee_ge_1_00_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.0844774685143641,0.008094497164887894,1.6908959483718862e-25,-0.10034239143050595,-0.06861254559822226,14514,97,30,0.9004294179043248,0.898641519397171,all,baseline,,True,unlock_fee_ge_1_00:Multi-platform,-0.084***,negative
city_sensitivity_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.21312220806966498,0.038952046953249636,4.464956578505042e-08,-0.2894668172221474,-0.13677759891718255,14514,97,30,0.78131722237301,0.7782769909389056,all,baseline,,True,unlock_fee_ge_1_20:Local MaaS only,-0.213***,negative
city_sensitivity_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.13679899864910114,0.03850262012821682,0.00038089494971012576,-0.21226274741083306,-0.061335249887369214,14514,97,30,0.78131722237301,0.7782769909389056,all,baseline,,True,unlock_fee_ge_1_20:Multi-platform,-0.137***,negative
city_sensitivity_unlock_fee_ge_1_20_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.03764421002431666,0.010746426864780001,0.0004601335705770282,-0.05870681964177915,-0.016581600406854167,14514,97,30,0.9003641254608312,0.8985750545565717,all,baseline,,True,unlock_fee_ge_1_20:Local MaaS only,-0.038***,negative
city_sensitivity_unlock_fee_ge_1_20_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.0727892743638087,0.0114868440790562,2.346602780611885e-10,-0.09530307505478602,-0.05027547367283139,14514,97,30,0.9003641254608312,0.8985750545565717,all,baseline,,True,unlock_fee_ge_1_20:Multi-platform,-0.073***,negative
city_sensitivity_unlock_fee_ge_0_99_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.1426163985831078,0.03392529102534727,2.6242778384298423e-05,-0.20910874715782835,-0.07612405000838722,13768,92,30,0.8138570645211649,0.8111269315494456,no_weak_exposure,baseline,,True,unlock_fee_ge_0_99:Local MaaS only,-0.143***,negative
city_sensitivity_unlock_fee_ge_0_99_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.06597295092664646,0.03648697451021963,0.07058730332465517,-0.13748610687150792,0.0055402050182149915,13768,92,30,0.8138570645211649,0.8111269315494456,no_weak_exposure,baseline,,False,unlock_fee_ge_0_99:Multi-platform,-0.066+,negative
city_sensitivity_unlock_fee_ge_0_99_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.04182067384425838,0.012046453737902718,0.0005173337997770304,-0.06543128931197562,-0.01821005837654114,13768,92,30,0.9026230567242829,0.9008147101156557,no_weak_exposure,baseline,,True,unlock_fee_ge_0_99:Local MaaS only,-0.042***,negative
city_sensitivity_unlock_fee_ge_0_99_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.08438222798748751,0.008946269433689254,4.019079310879342e-21,-0.10191659387351,-0.06684786210146502,13768,92,30,0.9026230567242829,0.9008147101156557,no_weak_exposure,baseline,,True,unlock_fee_ge_0_99:Multi-platform,-0.084***,negative
city_sensitivity_unlock_fee_ge_1_00_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.14876991989096056,0.03233822077776058,4.216072408866133e-06,-0.21215166793947615,-0.08538817184244496,13768,92,30,0.814088190488595,0.8113614474098237,no_weak_exposure,baseline,,True,unlock_fee_ge_1_00:Local MaaS only,-0.149***,negative
city_sensitivity_unlock_fee_ge_1_00_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.0891732061811594,0.032658584146346814,0.0063244547645364664,-0.15318285489406994,-0.02516355746824886,13768,92,30,0.814088190488595,0.8113614474098237,no_weak_exposure,baseline,,True,unlock_fee_ge_1_00:Multi-platform,-0.089**,negative
city_sensitivity_unlock_fee_ge_1_00_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.03385621119470339,0.009901645791507572,0.0006279379920129302,-0.053263080333730825,-0.01444934205567595,13768,92,30,0.9027028369447032,0.9008959719012821,no_weak_exposure,baseline,,True,unlock_fee_ge_1_00:Local MaaS only,-0.034***,negative
city_sensitivity_unlock_fee_ge_1_00_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.08380596952967888,0.007811758863902934,7.505843753578586e-27,-0.09911673555884015,-0.0684952035005176,13768,92,30,0.9027028369447032,0.9008959719012821,no_weak_exposure,baseline,,True,unlock_fee_ge_1_00:Multi-platform,-0.084***,negative
city_sensitivity_unlock_fee_ge_1_20_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.15799387791549596,0.03218204501742343,9.13649349176147e-07,-0.2210695270984926,-0.09491822873249935,13768,92,30,0.8178343051671578,0.8151625058399368,no_weak_exposure,baseline,,True,unlock_fee_ge_1_20:Local MaaS only,-0.158***,negative
city_sensitivity_unlock_fee_ge_1_20_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.12091965742021601,0.03275446748765111,0.000222760399943856,-0.18511723402880034,-0.05672208081163169,13768,92,30,0.8178343051671578,0.8151625058399368,no_weak_exposure,baseline,,True,unlock_fee_ge_1_20:Multi-platform,-0.121***,negative
city_sensitivity_unlock_fee_ge_1_20_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.03706806056995458,0.010779802644551289,0.0005846040817444492,-0.05819608551372474,-0.01594003562618443,13768,92,30,0.9026331037762375,0.9008249437472227,no_weak_exposure,baseline,,True,unlock_fee_ge_1_20:Local MaaS only,-0.037***,negative
city_sensitivity_unlock_fee_ge_1_20_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.07201722186358525,0.011530221040210195,4.2122309338788196e-10,-0.09461603983618319,-0.04941840389098731,13768,92,30,0.9026331037762375,0.9008249437472227,no_weak_exposure,baseline,,True,unlock_fee_ge_1_20:Multi-platform,-0.072***,negative
city_sensitivity_unlock_fee_ge_0_99_market_fe_drop_berlin,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.20753500882947346,0.04377975139633167,2.1326123147369404e-06,-0.2933417448184007,-0.12172827284054624,13911,93,29,0.7776250446348008,0.7744139710377829,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_0_99:Local MaaS only,-0.208***,negative
city_sensitivity_unlock_fee_ge_0_99_market_fe_drop_berlin,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.10185394483303638,0.04607531067920653,0.02706375478212863,-0.1921598943407749,-0.011547995325297836,13911,93,29,0.7776250446348008,0.7744139710377829,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_0_99:Multi-platform,-0.102*,negative
city_sensitivity_unlock_fee_ge_0_99_unit_fe_drop_berlin,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.04380550635599331,0.012435742175756813,0.0004274186458454686,-0.06817911314150243,-0.019431899570484187,13911,93,29,0.9002216808918475,0.898380698579997,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_0_99:Local MaaS only,-0.044***,negative
city_sensitivity_unlock_fee_ge_0_99_unit_fe_drop_berlin,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.08562793106833248,0.010354141527981078,1.3404795803710095e-16,-0.10592167555400592,-0.06533418658265905,13911,93,29,0.9002216808918475,0.898380698579997,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_0_99:Multi-platform,-0.086***,negative
city_sensitivity_unlock_fee_ge_1_00_market_fe_drop_berlin,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.22288020142100667,0.041521784281378184,7.970746356201535e-08,-0.30426140318634926,-0.1414989996556641,13911,93,29,0.7774313253986984,0.7742174545139947,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_1_00:Local MaaS only,-0.223***,negative
city_sensitivity_unlock_fee_ge_1_00_market_fe_drop_berlin,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.12300758056070789,0.041059460909661706,0.002736898847986555,-0.20348264516827502,-0.04253251595314074,13911,93,29,0.7774313253986984,0.7742174545139947,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_1_00:Multi-platform,-0.123**,negative
city_sensitivity_unlock_fee_ge_1_00_unit_fe_drop_berlin,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.03576833453665173,0.010399309389630648,0.0005828084408377787,-0.05615060640441701,-0.015386062668886445,13911,93,29,0.9003008962448317,0.898461375513663,drop_berlin,leave_one_platform_city,BERLIN,True,unlock_fee_ge_1_00:Local MaaS only,-0.036***,negative
