model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,significant_05,label,estimate,effect_direction
platform_intensity_maturity_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_count_intensity_z,-0.14616878712264803,0.046403591565359475,0.0016330089022500265,-0.23711815534405922,-0.05521941890123683,14514,97,30,0.8177082679900043,0.8151093782471823,all,platform_intensity_maturity,True,Price/min:platform_count_intensity_z,-0.146**,negative
platform_intensity_maturity_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_exposure_count_intensity_z,0.1599558277369571,0.04446548399857585,0.000321533607128258,0.07280508054460637,0.24710657492930782,14514,97,30,0.8177082679900043,0.8151093782471823,all,platform_intensity_maturity,True,Price/min:platform_exposure_count_intensity_z,0.160***,positive
platform_intensity_maturity_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_count_intensity_z,-0.03882337017255833,0.019341616261764148,0.04472354022442016,-0.07673224144841029,-0.0009144988967063686,14514,97,30,0.9017390355273702,0.8999606189132743,all,platform_intensity_maturity,True,Unlock fee:platform_count_intensity_z,-0.039*,negative
platform_intensity_maturity_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_exposure_count_intensity_z,0.03154168111120659,0.014369033590871832,0.028155349780728808,0.003378892780451552,0.05970446944196162,14514,97,30,0.9017390355273702,0.8999606189132743,all,platform_intensity_maturity,True,Unlock fee:platform_exposure_count_intensity_z,0.032*,positive
platform_intensity_maturity_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_maturity_days_z,-0.16854085375568464,0.02883325559141763,5.0546391240119724e-09,-0.22505299627190134,-0.11202871123946795,14514,97,30,0.9017390355273702,0.8999606189132743,all,platform_intensity_maturity,True,Unlock fee:platform_maturity_days_z,-0.169***,negative
platform_intensity_maturity_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_count_intensity_z,-0.046599062597711856,0.02180639268735475,0.03260246242503684,-0.08933880689766477,-0.003859318297758943,14514,97,30,0.9017390355273702,0.8999606189132743,all,platform_intensity_maturity,True,Price/min:platform_count_intensity_z,-0.047*,negative
platform_intensity_maturity_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_exposure_count_intensity_z,0.0660094939268197,0.021768082889384997,0.002426189701985487,0.023344835451142514,0.10867415240249689,14514,97,30,0.9017390355273702,0.8999606189132743,all,platform_intensity_maturity,True,Price/min:platform_exposure_count_intensity_z,0.066**,positive
platform_intensity_maturity_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_maturity_days_z,0.11187513200468775,0.03812813363813306,0.003344210212193349,0.037145363276216814,0.1866049007331587,14514,97,30,0.9017390355273702,0.8999606189132743,all,platform_intensity_maturity,True,Price/min:platform_maturity_days_z,0.112**,positive
platform_intensity_maturity_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_exposure_count_intensity_z,-0.08271740544111864,0.02807436533716854,0.0032152984956602924,-0.13774215039078866,-0.027692660491448605,11149,75,30,0.8417966829396306,0.8388771625626715,scooter_only,platform_intensity_maturity,True,Unlock fee:platform_exposure_count_intensity_z,-0.083**,negative
platform_intensity_maturity_market_fe_scooter_only,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_exposure_count_intensity_z,0.11667087680771991,0.05482091853990959,0.0333189961755568,0.00922385087009299,0.22411790274534682,11149,75,30,0.8417966829396306,0.8388771625626715,scooter_only,platform_intensity_maturity,True,Price/min:platform_exposure_count_intensity_z,0.117*,positive
platform_intensity_maturity_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_maturity_days_z,-0.16256830046969445,0.029586206410341407,3.913022986850542e-08,-0.22055619947313168,-0.10458040146625722,11149,75,30,0.8866459665488124,0.8841943947109752,scooter_only,platform_intensity_maturity,True,Unlock fee:platform_maturity_days_z,-0.163***,negative
platform_intensity_maturity_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_count_intensity_z,0.07498730247758623,0.019497543113462648,0.00012006800001667162,0.03677282018818248,0.11320178476698997,11149,75,30,0.8866459665488124,0.8841943947109752,scooter_only,platform_intensity_maturity,True,Price/min:platform_count_intensity_z,0.075***,positive
platform_intensity_maturity_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_exposure_count_intensity_z,-0.05235960124947394,0.015265195552833082,0.0006035840903082741,-0.08227883474998778,-0.0224403677489601,11149,75,30,0.8866459665488124,0.8841943947109752,scooter_only,platform_intensity_maturity,True,Price/min:platform_exposure_count_intensity_z,-0.052***,negative
platform_intensity_maturity_unit_fe_scooter_only,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_maturity_days_z,0.14390670093577246,0.054048849810573396,0.007755558410381226,0.03797290190123408,0.24984049997031083,11149,75,30,0.8866459665488124,0.8841943947109752,scooter_only,platform_intensity_maturity,True,Price/min:platform_maturity_days_z,0.144**,positive
platform_specific_pricing_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_hvv_switch_clean,-0.15654294342555383,0.06905347367843108,0.023391359337175933,-0.29188526484266336,-0.021200622008444303,14514,97,30,0.7995722070633934,0.7965725883705873,all,platform_specific_pricing,True,Unlock fee:platform_hvv_switch_clean,-0.157*,negative
