family,term,label,n_models,n_negative_sig_05,n_positive_sig_05,median_coef,all_market_fe_coef,all_market_fe_p,all_unit_fe_coef,all_unit_fe_p
pricing_thresholds,high_unlock_fee:local_maas_only,high_unlock_fee:Local MaaS only,6,6,0,-0.06543615254308197,-0.14982729418710056,0.002157034357602483,-0.045627722264432465,6.093069981106886e-05
pricing_thresholds,high_unlock_fee:multi_platform,high_unlock_fee:Multi-platform,6,6,0,-0.09751940416824106,-0.13145963211161218,0.0068467182150422886,-0.09837052329124052,1.3778468421339839e-18
pricing_thresholds,high_unlock_fee:platform_any,high_unlock_fee:Any platform,6,6,0,-0.04865537157854545,-0.10436348507434277,0.0009254944849049553,-0.040070302823731516,0.0003323258396277284
pricing_thresholds,zero_unlock_fee:large_aggregator_only,zero_unlock_fee:FreeNow only,6,4,2,-7.500765602738434e-18,2.4184675212274213e-17,2.165344899660161e-67,-3.8776866167736853e-17,1.466108784581559e-247
pricing_thresholds,zero_unlock_fee:multi_platform,zero_unlock_fee:Multi-platform,6,4,1,-1.2075326940741576e-17,-2.074757257296589e-17,4.5274450529724446e-35,-7.034779495435923e-17,2.246709066932015e-97
platform_specific_pricing,price_per_minute_z:platform_KVV_regiomove_clean,Price/min:platform_KVV_regiomove_clean,4,4,0,-0.08730112930208261,-0.09083338333317413,3.5800912317967576e-10,-0.09076838771344964,0.0
platform_specific_pricing,price_per_minute_z:platform_LeipzigMOVE_clean,Price/min:platform_LeipzigMOVE_clean,4,4,0,-0.07332159435731833,-0.0645253728755203,4.8103618455013225e-05,-0.08810511671311058,1.660258716760655e-50
platform_specific_pricing,unlock_fee_z:platform_BONNmobil_clean,Unlock fee:platform_BONNmobil_clean,4,4,0,-0.04002701344795921,-0.023218320177111323,0.02499318810862738,-0.05644230251936011,4.914979358574894e-62
platform_specific_pricing,unlock_fee_z:platform_hvv_switch_clean,Unlock fee:platform_hvv_switch_clean,4,4,0,-0.113574196083743,-0.15654294342555383,0.023391359337175933,-0.06794822172322969,3.656408142987928e-16
pricing_thresholds,high_unlock_fee:large_aggregator_only,high_unlock_fee:FreeNow only,6,4,0,-0.04008733786554562,-0.08767823583603236,0.021865429257305533,-0.0400447596238268,0.0003339117009127579
promotion_type_fit,promo_parking_credit:large_aggregator_only,promo_parking_credit:FreeNow only,4,4,0,-0.010738835161050217,-0.02147767032210037,0.012054728875343704,-0.025320766399070032,3.021990284757041e-40
promotion_type_fit,promo_subscriber_minutes:local_maas_only,promo_subscriber_minutes:Local MaaS only,4,4,0,-0.03246824971075804,-0.08108892946180367,0.0034947765614607358,-0.010957278297134877,0.049114031175912745
promotion_type_fit,promo_parking_credit:local_maas_only,promo_parking_credit:Local MaaS only,4,3,1,-3.771973896803356e-18,2.3265946200989585e-17,2.0083694107421477e-19,-2.4762830689574425e-17,6.043205467148063e-57
promotion_type_fit,promo_voucher_20eur:large_aggregator_only,promo_voucher_20eur:FreeNow only,4,3,1,-2.396467899806085e-17,-3.246570770066466e-17,6.154064980139396e-106,-1.132853600529241e-16,3.999335961848583e-67
platform_specific_pricing,price_per_minute_z:platform_redy_clean,Price/min:platform_redy_clean,4,3,0,-0.10669703143242609,-0.19585410064051925,0.007257397996704243,-0.10289083996662783,4.304467418403412e-189
platform_specific_pricing,unlock_fee_z:platform_myVRN_clean,Unlock fee:platform_myVRN_clean,4,3,0,-0.3004873618289659,-0.4709991362474573,0.1470084092936866,-0.1299755874104745,6.422796284612949e-87
trip_context_boundary,price_per_minute_z:platform_any:share_weather_is_wet_z,Price/min:Any platform:share_weather_is_wet_z,4,3,0,-0.007458969411436555,-0.002685725049550167,0.49329804001412025,-0.005380660188310911,0.017328105940135962
promotion_type_fit,promo_parking_credit:multi_platform,promo_parking_credit:Multi-platform,4,2,2,-5.8091066467777604e-18,3.405116996009218e-17,3.301245599174514e-36,8.476832504801255e-18,2.9110038615730134e-15
