model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,significant_05,label,estimate,effect_direction
platform_intensity_maturity_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_count_intensity_z,0.042987172305190065,0.049193978047920084,0.3822108571979037,-0.05343125292498733,0.13940559753536746,14514,97,30,0.8177082679900043,0.8151093782471823,all,platform_intensity_maturity,False,Unlock fee:platform_count_intensity_z,0.043,positive
platform_intensity_maturity_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_exposure_count_intensity_z,-0.06179296888194627,0.04833865703475538,0.20113153804754835,-0.15653499573110052,0.032949057967208,14514,97,30,0.8177082679900043,0.8151093782471823,all,platform_intensity_maturity,False,Unlock fee:platform_exposure_count_intensity_z,-0.062,negative
platform_intensity_maturity_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_maturity_days_z,-0.0009361653719399852,0.021304850058559748,0.9649510985042662,-0.04269290418274316,0.04082057343886318,14514,97,30,0.8177082679900043,0.8151093782471823,all,platform_intensity_maturity,False,Unlock fee:platform_maturity_days_z,-0.001,negative
platform_intensity_maturity_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_count_intensity_z,-0.14616878712264803,0.046403591565359475,0.0016330089022500265,-0.23711815534405922,-0.05521941890123683,14514,97,30,0.8177082679900043,0.8151093782471823,all,platform_intensity_maturity,True,Price/min:platform_count_intensity_z,-0.146**,negative
platform_intensity_maturity_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_exposure_count_intensity_z,0.1599558277369571,0.04446548399857585,0.000321533607128258,0.07280508054460637,0.24710657492930782,14514,97,30,0.8177082679900043,0.8151093782471823,all,platform_intensity_maturity,True,Price/min:platform_exposure_count_intensity_z,0.160***,positive
platform_intensity_maturity_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_z:platform_maturity_days_z,-0.03270623684787903,0.023130528040450786,0.1573660889520374,-0.07804123875055641,0.01262876505479834,14514,97,30,0.8177082679900043,0.8151093782471823,all,platform_intensity_maturity,False,Price/min:platform_maturity_days_z,-0.033,negative
platform_intensity_maturity_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_count_intensity_z,-0.03882337017255833,0.019341616261764148,0.04472354022442016,-0.07673224144841029,-0.0009144988967063686,14514,97,30,0.9017390355273702,0.8999606189132743,all,platform_intensity_maturity,True,Unlock fee:platform_count_intensity_z,-0.039*,negative
platform_intensity_maturity_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_exposure_count_intensity_z,0.03154168111120659,0.014369033590871832,0.028155349780728808,0.003378892780451552,0.05970446944196162,14514,97,30,0.9017390355273702,0.8999606189132743,all,platform_intensity_maturity,True,Unlock fee:platform_exposure_count_intensity_z,0.032*,positive
platform_intensity_maturity_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_maturity_days_z,-0.16854085375568464,0.02883325559141763,5.0546391240119724e-09,-0.22505299627190134,-0.11202871123946795,14514,97,30,0.9017390355273702,0.8999606189132743,all,platform_intensity_maturity,True,Unlock fee:platform_maturity_days_z,-0.169***,negative
platform_intensity_maturity_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,price_per_minute_z:platform_count_intensity_z,-0.046599062597711856,0.02180639268735475,0.03260246242503684,-0.08933880689766477,-0.003859318297758943,14514,97,30,0.9017390355273702,0.8999606189132743,all,platform_intensity_maturity,True,Price/min:platform_count_intensity_z,-0.047*,negative
