model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,moderator,moderator_category,moderator_centrality,platform_family,significant_05,label,estimate,effect_direction
same_mode_competition_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,same_mode_competitor_count_day_z:local_maas_only,-0.059209862684955754,0.023914089983411466,0.013288574104024226,-0.10608061777549228,-0.012339107594419224,14514,97,30,0.7772892847311969,0.7741457193280595,all,platform_feature_moderation,same_mode_competition,competition,high,platform_types,True,same_mode_competitor_count_day_z:Local MaaS only,-0.059*,negative
same_platform_competition_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,same_platform_competitor_count_day_z:large_aggregator_only,-0.29622267677497366,0.00791753989623064,2.359540938767446e-306,-0.31174076981774473,-0.2807045837322026,14514,97,30,0.9005025357823434,0.8987017398673554,all,platform_feature_moderation,same_platform_competition,platform_competition,high,platform_types,True,same_platform_competitor_count_day_z:FreeNow only,-0.296***,negative
same_platform_competition_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,same_platform_competitor_count_day_z:local_maas_only,-0.2972482543722816,0.014879896723417106,8.819474029804673e-89,-0.3264123160438547,-0.2680841927007085,14514,97,30,0.9005025357823434,0.8987017398673554,all,platform_feature_moderation,same_platform_competition,platform_competition,high,platform_types,True,same_platform_competitor_count_day_z:Local MaaS only,-0.297***,negative
same_platform_competition_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,same_platform_competitor_count_day_z:multi_platform,-0.3186933611166175,0.009761267458070554,8.342278174055144e-234,-0.33782509377789866,-0.29956162845533635,14514,97,30,0.9005025357823434,0.8987017398673554,all,platform_feature_moderation,same_platform_competition,platform_competition,high,platform_types,True,same_platform_competitor_count_day_z:Multi-platform,-0.319***,negative
active_vehicle_hhi_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,active_vehicle_hhi_same_mode_day_z:local_maas_only,0.046524323891669675,0.021184423337388465,0.02808069344948241,0.0050036171171384675,0.08804503066620088,14514,97,30,0.7896518358225759,0.786682768031098,all,platform_feature_moderation,active_vehicle_hhi_same_mode,competition_concentration,medium,platform_types,True,active_vehicle_hhi_same_mode_day_z:Local MaaS only,0.047*,positive
unlock_fee_gap_same_mode_any_platform_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:platform_any,-0.0741664369681546,0.014816078058057498,5.562828464993734e-07,-0.10320541635408144,-0.04512745758222776,14514,97,30,0.768979037413914,0.7657836374424125,all,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,any_platform,True,unlock_fee_gap_to_same_mode_min_z:Any platform,-0.074***,negative
unlock_fee_gap_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:local_maas_only,-0.08928228513874446,0.017356333869197993,2.688419591405601e-07,-0.12330007442602525,-0.055264495851463674,14514,97,30,0.7820005129165731,0.7789234465766351,all,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_gap_to_same_mode_min_z:Local MaaS only,-0.089***,negative
unlock_fee_gap_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:multi_platform,-0.09087616173331291,0.016751879525370703,5.8008499855763795e-08,-0.12370924227639342,-0.058043081190232396,14514,97,30,0.7820005129165731,0.7789234465766351,all,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_gap_to_same_mode_min_z:Multi-platform,-0.091***,negative
unlock_fee_gap_same_mode_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:local_maas_only,-0.029732478854391897,0.009632527942495556,0.002024090706281483,-0.048611886701758894,-0.0108530710070249,14514,97,30,0.9006181653541212,0.8988123638125691,all,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_gap_to_same_mode_min_z:Local MaaS only,-0.030**,negative
unlock_fee_gap_same_mode_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_gap_to_same_mode_min_z:multi_platform,-0.04051718308794497,0.011455743622213126,0.00040493810495502783,-0.06297002800360713,-0.01806433817228282,14514,97,30,0.9006181653541212,0.8988123638125691,all,platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,platform_types,True,unlock_fee_gap_to_same_mode_min_z:Multi-platform,-0.041***,negative
price_per_minute_gap_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_gap_to_same_mode_min_z:large_aggregator_only,0.04616258710481271,0.014091501238527608,0.0010531954353689263,0.018543752189197033,0.0737814220204284,14514,97,30,0.7827751903977926,0.779709058643223,all,platform_feature_moderation,price_per_minute_gap_same_mode,relative_price_position,high,platform_types,True,price_per_minute_gap_to_same_mode_min_z:FreeNow only,0.046**,positive
price_per_minute_gap_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,price_per_minute_gap_to_same_mode_min_z:local_maas_only,-0.10445231668436587,0.03521973173083429,0.003019626263878947,-0.17348172242196364,-0.035422910946768124,14514,97,30,0.7827751903977926,0.779709058643223,all,platform_feature_moderation,price_per_minute_gap_same_mode,relative_price_position,high,platform_types,True,price_per_minute_gap_to_same_mode_min_z:Local MaaS only,-0.104**,negative
active_vehicle_share_same_mode_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,active_vehicle_share_same_mode_z:local_maas_only,0.05845746357064653,0.02290570019921779,0.010707811465731994,0.013563116139507725,0.10335181100178534,14514,97,30,0.7968937045890538,0.794026855894133,all,platform_feature_moderation,active_vehicle_share_same_mode,availability_position,high,platform_types,True,active_vehicle_share_same_mode_z:Local MaaS only,0.058*,positive
