family,moderator,category,centrality,term,label,n_models,n_negative_sig_05,n_positive_sig_05,median_coef,all_market_fe_coef,all_market_fe_p,all_unit_fe_coef,all_unit_fe_p
platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,unlock_fee_gap_to_same_mode_min_z:local_maas_only,unlock_fee_gap_to_same_mode_min_z:Local MaaS only,6,6,0,-0.06164857612340808,-0.08928228513874446,2.688419591405601e-07,-0.029732478854391897,0.002024090706281483
platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,unlock_fee_gap_to_same_mode_min_z:multi_platform,unlock_fee_gap_to_same_mode_min_z:Multi-platform,6,6,0,-0.06803448591910932,-0.09087616173331291,5.8008499855763795e-08,-0.04051718308794497,0.00040493810495502783
platform_feature_moderation,night_trip_share,process_usage_context,medium,night_trip_share_z:local_maas_only,night_trip_share_z:Local MaaS only,6,4,0,-0.016829637132060198,-0.018536309935748334,0.0010293407782312127,-0.017575924686347603,4.1323544135834756e-05
high_fee_feature_moderation,active_vehicle_share_same_mode,availability_position,high,unlock_fee_ge_1_00:multi_platform:active_vehicle_share_same_mode_z,unlock_fee_ge_1_00:Multi-platform:active_vehicle_share_same_mode_z,6,3,0,-0.05727776473386148,0.0653347002482833,0.2844216911360742,-0.074065923740687,0.008249322586359428
high_fee_feature_moderation,same_mode_competition,competition,high,unlock_fee_ge_1_00:large_aggregator_only:same_mode_competitor_count_day_z,unlock_fee_ge_1_00:FreeNow only:same_mode_competitor_count_day_z,6,3,0,-0.035004017382674904,-0.06584564097810679,0.027681567315904498,-0.012592372636732458,0.6971498470600997
platform_feature_moderation,reservation_available,process_product,medium,reservation_available_external:multi_platform,reservation_available_external:Multi-platform,6,3,0,-0.05943100285224871,-0.06159472828185379,,-0.05862577812364534,0.004678288212309137
platform_feature_moderation,unlock_fee_gap_same_mode,relative_price_position,very_high,unlock_fee_gap_to_same_mode_min_z:platform_any,unlock_fee_gap_to_same_mode_min_z:Any platform,6,3,0,-0.018399249255796075,-0.0741664369681546,5.562828464993734e-07,-0.006280260320077697,0.37617952623717654
platform_feature_moderation,price_per_minute_gap_same_mode,relative_price_position,high,price_per_minute_gap_to_same_mode_min_z:local_maas_only,price_per_minute_gap_to_same_mode_min_z:Local MaaS only,6,2,0,-0.02053829397674626,-0.10445231668436587,0.003019626263878947,-0.02040651187251955,0.15295154416790147
platform_feature_moderation,same_mode_competition,competition,high,same_mode_competitor_count_day_z:local_maas_only,same_mode_competitor_count_day_z:Local MaaS only,6,2,0,-0.019872605879283016,-0.059209862684955754,0.013288574104024226,-0.019279416509978792,0.08308904496188024
platform_feature_moderation,same_platform_competition,platform_competition,high,same_platform_competitor_count_day_z:large_aggregator_only,same_platform_competitor_count_day_z:FreeNow only,6,2,0,71660135140.60193,152037153215.40543,,-0.29622267677497366,2.359540938767446e-306
