model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,moderator,moderator_category,moderator_centrality,platform_family,significant_05,label,estimate,effect_direction
same_mode_competition_any_platform_market_fe_all,ols_cluster,market_fe,ur_boxcox,same_mode_competitor_count_day_z:platform_any,-0.023166740850390968,0.01487059105463816,0.11925939386465323,-0.05231256374630526,0.005979082045523325,14514,97,30,0.7638141405281449,0.7605473015357993,all,platform_feature_moderation,same_mode_competition,competition,high,any_platform,False,same_mode_competitor_count_day_z:Any platform,-0.023,negative
same_mode_competition_any_platform_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,same_mode_competitor_count_day_z:platform_any,-0.0008590334369007921,0.008884810236703837,0.9229760553796371,-0.018272941510313105,0.01655487463651152,14514,97,30,0.9007192393664973,0.8989436331130577,all,platform_feature_moderation,same_mode_competition,competition,high,any_platform,False,same_mode_competitor_count_day_z:Any platform,-0.001,negative
same_mode_competition_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,same_mode_competitor_count_day_z:large_aggregator_only,0.01941754717261989,0.023993010927603534,0.41834252406040495,-0.02760789012615899,0.06644298447139876,14514,97,30,0.7772892847311969,0.7741457193280595,all,platform_feature_moderation,same_mode_competition,competition,high,platform_types,False,same_mode_competitor_count_day_z:FreeNow only,0.019,positive
same_mode_competition_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,same_mode_competitor_count_day_z:local_maas_only,-0.059209862684955754,0.023914089983411466,0.013288574104024226,-0.10608061777549228,-0.012339107594419224,14514,97,30,0.7772892847311969,0.7741457193280595,all,platform_feature_moderation,same_mode_competition,competition,high,platform_types,True,same_mode_competitor_count_day_z:Local MaaS only,-0.059*,negative
same_mode_competition_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,same_mode_competitor_count_day_z:multi_platform,0.008065718132368536,0.023071024606226183,0.7266360502456809,-0.03715265918227216,0.05328409544700924,14514,97,30,0.7772892847311969,0.7741457193280595,all,platform_feature_moderation,same_mode_competition,competition,high,platform_types,False,same_mode_competitor_count_day_z:Multi-platform,0.008,positive
same_mode_competition_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,same_mode_competitor_count_day_z:large_aggregator_only,0.0024627676847041643,0.012317146748434012,0.8415225942036232,-0.021678396334521136,0.02660393170392946,14514,97,30,0.9009486747898504,0.8991488787165076,all,platform_feature_moderation,same_mode_competition,competition,high,platform_types,False,same_mode_competitor_count_day_z:FreeNow only,0.002,positive
same_mode_competition_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,same_mode_competitor_count_day_z:local_maas_only,-0.019279416509978792,0.011124640458149607,0.08308904496188024,-0.04108331114890919,0.002524478128951603,14514,97,30,0.9009486747898504,0.8991488787165076,all,platform_feature_moderation,same_mode_competition,competition,high,platform_types,False,same_mode_competitor_count_day_z:Local MaaS only,-0.019+,negative
same_mode_competition_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,same_mode_competitor_count_day_z:multi_platform,-0.01200733824342434,0.010025989046067645,0.2310644719678231,-0.03165791568311002,0.007643239196261338,14514,97,30,0.9009486747898504,0.8991488787165076,all,platform_feature_moderation,same_mode_competition,competition,high,platform_types,False,same_mode_competitor_count_day_z:Multi-platform,-0.012,negative
same_platform_competition_any_platform_market_fe_all,ols_cluster,market_fe,ur_boxcox,same_platform_competitor_count_day_z:platform_any,250657344133.3273,,,,,14514,97,30,0.7561697627238604,0.7528144569999571,all,platform_feature_moderation,same_platform_competition,platform_competition,high,any_platform,False,same_platform_competitor_count_day_z:Any platform,250657344133.327,positive
same_platform_competition_any_platform_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,same_platform_competitor_count_day_z:platform_any,338840905439.5937,,,,,14514,97,30,0.8990005719417465,0.8972014377298946,all,platform_feature_moderation,same_platform_competition,platform_competition,high,any_platform,False,same_platform_competitor_count_day_z:Any platform,338840905439.594,positive
same_platform_competition_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,same_platform_competitor_count_day_z:large_aggregator_only,152037153215.40543,,,,,14514,97,30,0.7716268309941563,0.7684195219548764,all,platform_feature_moderation,same_platform_competition,platform_competition,high,platform_types,False,same_platform_competitor_count_day_z:FreeNow only,152037153215.405,positive
same_platform_competition_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,same_platform_competitor_count_day_z:local_maas_only,152037153215.46063,,,,,14514,97,30,0.7716268309941563,0.7684195219548764,all,platform_feature_moderation,same_platform_competition,platform_competition,high,platform_types,False,same_platform_competitor_count_day_z:Local MaaS only,152037153215.461,positive
same_platform_competition_platform_types_market_fe_all,ols_cluster,market_fe,ur_boxcox,same_platform_competitor_count_day_z:multi_platform,152037153215.45685,,,,,14514,97,30,0.7716268309941563,0.7684195219548764,all,platform_feature_moderation,same_platform_competition,platform_competition,high,platform_types,False,same_platform_competitor_count_day_z:Multi-platform,152037153215.457,positive
same_platform_competition_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,same_platform_competitor_count_day_z:large_aggregator_only,-0.29622267677497366,0.00791753989623064,2.359540938767446e-306,-0.31174076981774473,-0.2807045837322026,14514,97,30,0.9005025357823434,0.8987017398673554,all,platform_feature_moderation,same_platform_competition,platform_competition,high,platform_types,True,same_platform_competitor_count_day_z:FreeNow only,-0.296***,negative
same_platform_competition_platform_types_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,same_platform_competitor_count_day_z:local_maas_only,-0.2972482543722816,0.014879896723417106,8.819474029804673e-89,-0.3264123160438547,-0.2680841927007085,14514,97,30,0.9005025357823434,0.8987017398673554,all,platform_feature_moderation,same_platform_competition,platform_competition,high,platform_types,True,same_platform_competitor_count_day_z:Local MaaS only,-0.297***,negative
