feature,term,label,n_models,n_negative_sig_05,n_positive_sig_05,median_coef,all_market_fe_coef,all_market_fe_p,all_unit_fe_coef,all_unit_fe_p
complementary_services,unlock_fee_ge_1_20:local_maas_only:complementary_services,unlock_fee_ge_1_20:Local MaaS only:complementary_services,6,4,2,-2.6934405555045854e-18,1.1494357575984542e-17,1.4132641165868513e-23,-2.5187812147190602e-17,4.2091305006911546e-98
complementary_services,unlock_fee_ge_1_20:multi_platform:complementary_services,unlock_fee_ge_1_20:Multi-platform:complementary_services,6,4,2,-6.824756862224242e-18,-1.9755232023533725e-17,1.646941271535124e-17,-4.750681979195012e-18,0.0030328490379526647
complementary_services,unlock_fee_ge_1_00:multi_platform:complementary_services,unlock_fee_ge_1_00:Multi-platform:complementary_services,6,3,2,-1.1796269504847223e-17,-3.762979362007648e-17,6.679566759123714e-174,-3.397801004866157e-17,3.4003676986054533e-138
group_ride,unlock_fee_ge_1_00:local_maas_only:group_ride,unlock_fee_ge_1_00:Local MaaS only:group_ride,6,3,0,-0.03697409654878833,23690729246.885273,,-0.03907478973227557,1.0285714532280527e-14
group_ride,unlock_fee_ge_1_20:local_maas_only:group_ride,unlock_fee_ge_1_20:Local MaaS only:group_ride,6,3,0,-0.008987943958035257,71937757.18049699,,-0.010596619771126005,0.0033447141198854726
complementary_services,unlock_fee_ge_1_00:local_maas_only:complementary_services,unlock_fee_ge_1_00:Local MaaS only:complementary_services,6,2,2,1.417737346449848e-18,1.8297022748740073e-18,0.07358600220803488,1.0057724180256887e-18,0.09119187466794797
group_ride,unlock_fee_ge_1_00:multi_platform:group_ride,unlock_fee_ge_1_00:Multi-platform:group_ride,6,2,1,-0.006423910865616311,11694389212.621147,,-0.006346867779533996,0.00269190263143886
no_of_vehicle_types_z,unlock_fee_ge_1_20:multi_platform:no_of_vehicle_types_z,unlock_fee_ge_1_20:Multi-platform:no_of_vehicle_types_z,6,1,1,0.015545398247905066,0.03443573276418646,0.1529031295550487,0.009988424119078911,0.04296257156731801
no_of_vehicle_types_z,unlock_fee_ge_1_00:local_maas_only:no_of_vehicle_types_z,unlock_fee_ge_1_00:Local MaaS only:no_of_vehicle_types_z,6,0,6,0.02155061665253439,0.07435230742043546,4.636852593977861e-06,0.01395967773361292,6.028716105710019e-06
no_of_vehicle_types_z,unlock_fee_ge_1_20:local_maas_only:no_of_vehicle_types_z,unlock_fee_ge_1_20:Local MaaS only:no_of_vehicle_types_z,6,0,5,0.01953057140724184,0.0747388917492974,2.22656244026077e-06,0.01392028102340938,0.0001416378299621124
group_ride,unlock_fee_ge_1_20:multi_platform:group_ride,unlock_fee_ge_1_20:Multi-platform:group_ride,6,0,3,-21584099.802505706,-43168199.6114819,,0.012160728122275878,1.2681866998431725e-06
no_of_vehicle_types_z,unlock_fee_ge_1_00:multi_platform:no_of_vehicle_types_z,unlock_fee_ge_1_00:Multi-platform:no_of_vehicle_types_z,6,0,3,0.04550040825056484,0.026579815870275664,0.2765278377565733,0.06450876372871797,6.125091883021915e-104
