model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,competition_measure,idea,significant_05,label,estimate,effect_direction
isolated_competition_city_competition_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.09438597345952099,0.020903359489037175,6.321243130335766e-06,-0.13535580521392743,-0.053416141705114537,14514,97,30,0.77745372053402,0.774344012164482,all,city_competition_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.094***,negative
isolated_competition_city_competition_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:city_competition_z,-0.01700635177604799,0.02021249068494335,0.4001360181224577,-0.05662210555638829,0.022609402004292307,14514,97,30,0.77745372053402,0.774344012164482,all,city_competition_z,isolated_competition_pricing,False,Unlock fee:Any platform:city_Competition,-0.017,negative
isolated_competition_city_competition_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,0.00489561728209042,0.007324969175285665,0.503912457447792,-0.009461058489335546,0.019252293053516386,14514,97,30,0.9003191606116803,0.8985292823144642,all,city_competition_z,isolated_competition_pricing,False,Unlock fee:Any platform,0.005,positive
isolated_competition_city_competition_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:city_competition_z,0.022897638290787337,0.013094755507852647,0.08035822060214014,-0.002767610890961357,0.04856288747253603,14514,97,30,0.9003191606116803,0.8985292823144642,all,city_competition_z,isolated_competition_pricing,False,Unlock fee:Any platform:city_Competition,0.023+,positive
isolated_competition_active_city_operators_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.08091140257070156,0.019382784516556395,2.9877872114268733e-05,-0.1189009621432527,-0.042921842998150425,14514,97,30,0.7731359404124278,0.769949825545386,all,active_city_operators_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.081***,negative
isolated_competition_active_city_operators_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:active_city_operators_z,-0.008487868984883927,0.013784352216138624,0.538052152031936,-0.035504702878730504,0.018528964908962654,14514,97,30,0.7731359404124278,0.769949825545386,all,active_city_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform:active_city_operators_z,-0.008,negative
isolated_competition_active_city_operators_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any,-0.0040532205006577155,0.009440318417374433,0.6676670097129179,-0.022555904601301767,0.014449463599986334,14514,97,30,0.9009933904421239,0.899201478462753,all,active_city_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform,-0.004,negative
isolated_competition_active_city_operators_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_z:platform_any:active_city_operators_z,0.0016228394641749375,0.009149081858793847,0.8592120342817438,-0.016309031470669772,0.01955471039901965,14514,97,30,0.9009933904421239,0.899201478462753,all,active_city_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform:active_city_operators_z,0.002,positive
isolated_competition_active_operators_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any,-0.08091140257070156,0.019382784516556395,2.9877872114268733e-05,-0.1189009621432527,-0.042921842998150425,14514,97,30,0.7731359404124278,0.769949825545386,all,active_operators_z,isolated_competition_pricing,True,Unlock fee:Any platform,-0.081***,negative
isolated_competition_active_operators_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_z:platform_any:active_operators_z,-0.008487868984883927,0.013784352216138624,0.538052152031936,-0.035504702878730504,0.018528964908962654,14514,97,30,0.7731359404124278,0.769949825545386,all,active_operators_z,isolated_competition_pricing,False,Unlock fee:Any platform:active_operators_z,-0.008,negative
