model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,significant_05,label,estimate,effect_direction
outcome_robustness_ur_boxcox_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.20478574972393856,0.038737038255303384,1.24636668341333e-07,-0.2807089495720835,-0.12886254987579365,14514,97,30,0.7781129240686021,0.7750281449635058,all,outcome_robustness,True,unlock_fee_ge_1_00:Local MaaS only,-0.205***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_00_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.1062937646859662,0.035597571268325114,0.002826677844079628,-0.17606372230898124,-0.036523807062951164,14514,97,30,0.7781129240686021,0.7750281449635058,all,outcome_robustness,True,unlock_fee_ge_1_00:Multi-platform,-0.106**,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_00_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.034555524672949096,0.009990801766054727,0.0005427208259218505,-0.05413713631109553,-0.014973913034802666,14514,97,30,0.9004294179043248,0.898641519397171,all,outcome_robustness,True,unlock_fee_ge_1_00:Local MaaS only,-0.035***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_00_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.0844774685143641,0.008094497164887894,1.6908959483718862e-25,-0.10034239143050595,-0.06861254559822226,14514,97,30,0.9004294179043248,0.898641519397171,all,outcome_robustness,True,unlock_fee_ge_1_00:Multi-platform,-0.084***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.21312220806966498,0.038952046953249636,4.464956578505042e-08,-0.2894668172221474,-0.13677759891718255,14514,97,30,0.78131722237301,0.7782769909389056,all,outcome_robustness,True,unlock_fee_ge_1_20:Local MaaS only,-0.213***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_20_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.13679899864910114,0.03850262012821682,0.00038089494971012576,-0.21226274741083306,-0.061335249887369214,14514,97,30,0.78131722237301,0.7782769909389056,all,outcome_robustness,True,unlock_fee_ge_1_20:Multi-platform,-0.137***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_20_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only,-0.03764421002431666,0.010746426864780001,0.0004601335705770282,-0.05870681964177915,-0.016581600406854167,14514,97,30,0.9003641254608312,0.8985750545565717,all,outcome_robustness,True,unlock_fee_ge_1_20:Local MaaS only,-0.038***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_20_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform,-0.0727892743638087,0.0114868440790562,2.346602780611885e-10,-0.09530307505478602,-0.05027547367283139,14514,97,30,0.9003641254608312,0.8985750545565717,all,outcome_robustness,True,unlock_fee_ge_1_20:Multi-platform,-0.073***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_00_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only,-0.14876991989096056,0.03233822077776058,4.216072408866133e-06,-0.21215166793947615,-0.08538817184244496,13768,92,30,0.814088190488595,0.8113614474098237,no_weak_exposure,outcome_robustness,True,unlock_fee_ge_1_00:Local MaaS only,-0.149***,negative
outcome_robustness_ur_boxcox_unlock_fee_ge_1_00_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform,-0.0891732061811594,0.032658584146346814,0.0063244547645364664,-0.15318285489406994,-0.02516355746824886,13768,92,30,0.814088190488595,0.8113614474098237,no_weak_exposure,outcome_robustness,True,unlock_fee_ge_1_00:Multi-platform,-0.089**,negative
