city_operator,city,operator,large_any,local_any,weak_any,both_any,large_only_any,local_only_any,types,large_platforms,local_platforms,weak_platforms
AACHEN_TIER,AACHEN,TIER,1,0,0,0,1,0,large_aggregator_only,Free_Now,,
AACHEN_VOI,AACHEN,VOI,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
AUGSBURG_BOLT,AUGSBURG,BOLT,0,0,0,0,0,0,none,,,
AUGSBURG_VOI,AUGSBURG,VOI,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
BERLIN_BOLT,BERLIN,BOLT,0,1,0,0,0,1,local_maas_only,,Jelbi,
BERLIN_NEXTBIKE,BERLIN,NEXTBIKE,0,1,0,0,0,1,local_maas_only,,Jelbi,
BERLIN_TIER,BERLIN,TIER,1,1,0,1,0,0,both_large_and_local,Free_Now,Jelbi,
BERLIN_VOI,BERLIN,VOI,1,1,0,1,0,0,both_large_and_local,Free_Now,Jelbi,
BIELEFELD_BOLT,BIELEFELD,BOLT,0,0,0,0,0,0,none,,,
BIELEFELD_NEXTBIKE,BIELEFELD,NEXTBIKE,0,1,0,0,0,1,local_maas_only,,moBiel_YOU,
BIELEFELD_TIER,BIELEFELD,TIER,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
BOCHUM_BOLT,BOCHUM,BOLT,0,0,0,0,0,0,none,,,
BOCHUM_NEXTBIKE,BOCHUM,NEXTBIKE,0,0,0,0,0,0,none,,,
BOCHUM_TIER,BOCHUM,TIER,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
BOCHUM_VOI,BOCHUM,VOI,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
BONN_BOLT,BONN,BOLT,0,0,0,0,0,0,none,,,
BONN_NEXTBIKE,BONN,NEXTBIKE,0,1,0,0,0,1,local_maas_only,,BONNmobil,
BONN_TIER,BONN,TIER,1,1,0,1,0,1,both_large_and_local;local_maas_only,Free_Now,BONNmobil,
BONN_VOI,BONN,VOI,1,0,0,0,1,0,large_aggregator_only;none,Free_Now,,
BREMEN_BOLT,BREMEN,BOLT,0,0,0,0,0,0,none,,,
BREMEN_NEXTBIKE,BREMEN,NEXTBIKE,0,0,1,0,0,0,weak_exposure_only,,,VBN_FahrPlaner
