model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,significant_05,label,estimate,effect_direction
threshold_any_unlock_fee_positive_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_positive:platform_any,-0.18217358259896604,0.05146707951695595,0.0004007130315278651,-0.2830472048416588,-0.08129996035627327,14514,97,30,0.771662507830871,0.7685203950928632,all,threshold_any,True,unlock_fee_positive:Any platform,-0.182***,negative
threshold_type_unlock_fee_positive_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_positive:local_maas_only,-0.16919436414023856,0.0531283729650772,0.0014493774463318224,-0.27332406170900136,-0.06506466657147576,14514,97,30,0.7759577573147217,0.7728430160617966,all,threshold_type,True,unlock_fee_positive:Local MaaS only,-0.169**,negative
threshold_type_unlock_fee_positive_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_positive:multi_platform,-0.026006006118816143,0.012990197977907968,0.045287796909260006,-0.051466326307560796,-0.0005456859300714892,14514,97,30,0.7759577573147217,0.7728430160617966,all,threshold_type,True,unlock_fee_positive:Multi-platform,-0.026*,negative
threshold_type_unlock_fee_positive_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_positive:local_maas_only,-0.04746656911772,0.021127422422943506,0.024660449885728075,-0.08887555615285324,-0.006057582082586763,14514,97,30,0.9002960081037082,0.8985057140779349,all,threshold_type,True,unlock_fee_positive:Local MaaS only,-0.047*,negative
threshold_type_unlock_fee_positive_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_positive:multi_platform,-0.029032674366374932,0.009875288486127206,0.003282845271207379,-0.048387884136127324,-0.009677464596622536,14514,97,30,0.9002960081037082,0.8985057140779349,all,threshold_type,True,unlock_fee_positive:Multi-platform,-0.029**,negative
threshold_any_unlock_fee_ge_0_49_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_49:platform_any,-0.18025865532660942,0.042711407125806074,2.438835877957997e-05,-0.26397147502221674,-0.0965458356310021,14514,97,30,0.7705693865045599,0.7674122315130397,all,threshold_any,True,unlock_fee_ge_0_49:Any platform,-0.180***,negative
threshold_type_unlock_fee_ge_0_49_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_49:local_maas_only,-0.19027941624435005,0.04315109625398772,1.0355793629377185e-05,-0.27485401079558724,-0.10570482169311288,14514,97,30,0.7743036739776753,0.7711659368756463,all,threshold_type,True,unlock_fee_ge_0_49:Local MaaS only,-0.190***,negative
threshold_type_unlock_fee_ge_0_49_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_49:multi_platform,-0.03173225376547992,0.01375733652294574,0.021078827677566723,-0.058696137873651064,-0.004768369657308771,14514,97,30,0.7743036739776753,0.7711659368756463,all,threshold_type,True,unlock_fee_ge_0_49:Multi-platform,-0.032*,negative
threshold_type_unlock_fee_ge_0_49_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_49:local_maas_only,-0.04746656911771551,0.021127422422943416,0.024660449885741047,-0.08887555615284858,-0.006057582082582447,14514,97,30,0.9002960081037084,0.898505714077935,all,threshold_type,True,unlock_fee_ge_0_49:Local MaaS only,-0.047*,negative
threshold_type_unlock_fee_ge_0_49_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_49:multi_platform,-0.029032674366377065,0.009875288486127167,0.0032828452712049725,-0.04838788413612939,-0.009677464596624743,14514,97,30,0.9002960081037084,0.898505714077935,all,threshold_type,True,unlock_fee_ge_0_49:Multi-platform,-0.029**,negative
threshold_any_unlock_fee_ge_0_75_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_75:platform_any,-0.07517402346064636,0.03659190390111058,0.03993800770931274,-0.1468928372325738,-0.00345520968871893,14514,97,30,0.7622578952150083,0.7589863672293529,all,threshold_any,True,unlock_fee_ge_0_75:Any platform,-0.075*,negative
threshold_type_unlock_fee_ge_0_75_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_75:local_maas_only,-0.1961432176620001,0.042140140420356124,3.2469550816563565e-06,-0.2787363751893587,-0.11355006013464153,14514,97,30,0.7795687165282534,0.776472944590172,all,threshold_type,True,unlock_fee_ge_0_75:Local MaaS only,-0.196***,negative
threshold_type_unlock_fee_ge_0_75_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_75:local_maas_only,-0.05285418680947252,0.015550997529912658,0.0006769084011132837,-0.08333358189177267,-0.02237479172717237,14514,97,30,0.9004382539390795,0.8986362945926244,all,threshold_type,True,unlock_fee_ge_0_75:Local MaaS only,-0.053***,negative
threshold_type_unlock_fee_ge_0_75_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_75:multi_platform,-0.09515153928957598,0.014546520330890331,6.103162777139006e-11,-0.1236621952385007,-0.06664088334065127,14514,97,30,0.9004382539390795,0.8986362945926244,all,threshold_type,True,unlock_fee_ge_0_75:Multi-platform,-0.095***,negative
threshold_any_unlock_fee_ge_0_99_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:platform_any,-0.15980952376304292,0.037500544728704906,2.0303627489793827e-05,-0.2333092408319379,-0.08630980669414792,14514,97,30,0.7687862711083909,0.7656045789742999,all,threshold_any,True,unlock_fee_ge_0_99:Any platform,-0.160***,negative
threshold_type_unlock_fee_ge_0_99_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.21187833824827862,0.04174673519924699,3.868298806915053e-07,-0.2937004357109333,-0.13005624078562397,14514,97,30,0.7789776895125707,0.7758736170972568,all,threshold_type,True,unlock_fee_ge_0_99:Local MaaS only,-0.212***,negative
threshold_type_unlock_fee_ge_0_99_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.1115175376695018,0.04749889655689385,0.018885055175050024,-0.2046136642264073,-0.018421411112596278,14514,97,30,0.7789776895125707,0.7758736170972568,all,threshold_type,True,unlock_fee_ge_0_99:Multi-platform,-0.112*,negative
threshold_type_unlock_fee_ge_0_99_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:local_maas_only,-0.052928928997139274,0.01607111052384133,0.0009897623669388067,-0.08442772681543093,-0.021430131178847622,14514,97,30,0.9004371395632674,0.8986351600478218,all,threshold_type,True,unlock_fee_ge_0_99:Local MaaS only,-0.053***,negative
threshold_type_unlock_fee_ge_0_99_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_0_99:multi_platform,-0.09493591600591587,0.015178935586641993,3.989154783077421e-10,-0.12468608307938754,-0.0651857489324442,14514,97,30,0.9004371395632674,0.8986351600478218,all,threshold_type,True,unlock_fee_ge_0_99:Multi-platform,-0.095***,negative
