model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,feature,significant_05,label,estimate,effect_direction
underused_type_group_ride_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,group_ride:local_maas_only,-0.051819314446302195,0.016584947249065677,0.0017812041628073331,-0.08432521373996757,-0.01931341515263682,14514,97,30,0.9004789938222346,0.8986777718233666,all,feature_x_platform_type,group_ride,True,group_ride:Local MaaS only,-0.052**,negative
underused_type_group_ride_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,group_ride:multi_platform,-0.08697622125715947,0.01748801271127643,6.576272959270333e-07,-0.12125209633243994,-0.052700346181879,14514,97,30,0.9004789938222346,0.8986777718233666,all,feature_x_platform_type,group_ride,True,group_ride:Multi-platform,-0.087***,negative
underused_any_subscription_options_market_fe_all,ols_cluster,market_fe,ur_boxcox,subscription_options:platform_any,-0.2605558841294244,0.05469088432559278,1.896461016292773e-06,-0.3677480476902324,-0.15336372056861636,14514,97,30,0.7769298692263414,0.7738444423389377,all,feature_x_any_platform,subscription_options,True,subscription_options:Any platform,-0.261***,negative
underused_type_subscription_options_market_fe_all,ols_cluster,market_fe,ur_boxcox,subscription_options:local_maas_only,-0.22094400907179257,0.05425587561171064,4.655924936253745e-05,-0.3272835712204305,-0.11460444692315463,14514,97,30,0.7853033957375393,0.782303373320681,all,feature_x_platform_type,subscription_options,True,subscription_options:Local MaaS only,-0.221***,negative
underused_type_complementary_services_market_fe_all,ols_cluster,market_fe,ur_boxcox,complementary_services:multi_platform,2.0786045394920296e-17,1.8372357891198796e-18,1.1217666034994526e-29,1.7185129417137308e-17,2.4386961372703285e-17,14514,97,30,0.7694191780239008,0.7661972004933189,all,feature_x_platform_type,complementary_services,True,complementary_services:Multi-platform,0.000***,positive
underused_type_complementary_services_market_fe_all,ols_cluster,market_fe,ur_boxcox,complementary_services:large_aggregator_only,-1.0538304662712178e-17,1.3367070004025999e-18,3.176218733830275e-15,-1.3158202241383842e-17,-7.918407084040514e-18,14514,97,30,0.7694191780239008,0.7661972004933189,all,feature_x_platform_type,complementary_services,True,complementary_services:FreeNow only,-0.000***,negative
underused_any_complementary_services_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,complementary_services:platform_any,-0.006813832740735696,0.002570947709589744,0.008041569378548755,-0.011852797657667336,-0.0017748678238040556,14514,97,30,0.9001200716908624,0.898348008446668,all,feature_x_any_platform,complementary_services,True,complementary_services:Any platform,-0.007**,negative
underused_type_complementary_services_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,complementary_services:multi_platform,1.3635728816205249e-17,2.1030652653075474e-18,8.947624061312753e-11,9.513796639065282e-18,1.7757660993345214e-17,14514,97,30,0.9002328972855724,0.8984485929517122,all,feature_x_platform_type,complementary_services,True,complementary_services:Multi-platform,0.000***,positive
underused_type_complementary_services_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,complementary_services:large_aggregator_only,4.371268827091379e-17,2.8000227151522858e-18,6.074530919757113e-55,3.822474459332126e-17,4.9200631948506325e-17,14514,97,30,0.9002328972855724,0.8984485929517122,all,feature_x_platform_type,complementary_services,True,complementary_services:FreeNow only,0.000***,positive
underused_type_no_of_vehicle_types_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,no_of_vehicle_types_z:large_aggregator_only,-0.03621319108700176,0.014929242106898407,0.015280788008236169,-0.06547396793300152,-0.006952414241002004,14514,97,30,0.7733291836811813,0.7701297213866944,all,feature_x_platform_type,no_of_vehicle_types_z,True,no_of_vehicle_types_z:FreeNow only,-0.036*,negative
underused_type_no_of_vehicle_types_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,no_of_vehicle_types_z:multi_platform,0.01411898733107596,0.005774810836140472,0.014488171427632056,0.0028005660747089985,0.025437408587442922,14514,97,30,0.9002555513908854,0.8984645309206649,all,feature_x_platform_type,no_of_vehicle_types_z,True,no_of_vehicle_types_z:Multi-platform,0.014*,positive
underused_type_group_ride_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,group_ride:local_maas_only,-0.052013198508840466,0.01667561810647428,0.0018139411621074907,-0.08469680941747407,-0.019329587600206866,13768,92,30,0.9027784902815927,0.9009583747008056,no_weak_exposure,feature_x_platform_type,group_ride,True,group_ride:Local MaaS only,-0.052**,negative
underused_type_group_ride_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,group_ride:multi_platform,-0.0868074436985453,0.0175667400896307,7.749218379692431e-07,-0.1212376215999974,-0.05237726579709321,13768,92,30,0.9027784902815927,0.9009583747008056,no_weak_exposure,feature_x_platform_type,group_ride,True,group_ride:Multi-platform,-0.087***,negative
underused_any_subscription_options_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,subscription_options:platform_any,-0.16667654059792325,0.030891631253721075,6.832382458971356e-08,-0.22722302527890847,-0.10613005591693803,13768,92,30,0.8070362792672323,0.8042205362717951,no_weak_exposure,feature_x_any_platform,subscription_options,True,subscription_options:Any platform,-0.167***,negative
