model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,feature,significant_05,label,estimate,effect_direction
underused_any_group_ride_market_fe_all,ols_cluster,market_fe,ur_boxcox,group_ride:platform_any,-0.12497134878235033,,,,,14514,97,30,0.7581450414927537,0.7548169172383581,all,feature_x_any_platform,group_ride,False,group_ride:Any platform,-0.125,negative
underused_type_group_ride_market_fe_all,ols_cluster,market_fe,ur_boxcox,group_ride:local_maas_only,-0.12950644289473467,,,,,14514,97,30,0.7765194463360192,0.7733808499632928,all,feature_x_platform_type,group_ride,False,group_ride:Local MaaS only,-0.130,negative
underused_type_group_ride_market_fe_all,ols_cluster,market_fe,ur_boxcox,group_ride:multi_platform,-0.12057650206408205,3742.993404389619,0.999974297008041,-7336.252843476684,7336.0116904725555,14514,97,30,0.7765194463360192,0.7733808499632928,all,feature_x_platform_type,group_ride,False,group_ride:Multi-platform,-0.121,negative
underused_type_group_ride_market_fe_all,ols_cluster,market_fe,ur_boxcox,group_ride:large_aggregator_only,-0.03131284325377635,4433.878592539106,0.9999943651965959,-8690.273666043046,8690.211040356538,14514,97,30,0.7765194463360192,0.7733808499632928,all,feature_x_platform_type,group_ride,False,group_ride:FreeNow only,-0.031,negative
underused_any_group_ride_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,group_ride:platform_any,-0.01306021672370984,0.01557549863055595,0.401744140351307,-0.043587633080852436,0.017467199633432753,14514,97,30,0.9001559744172267,0.8983774217488751,all,feature_x_any_platform,group_ride,False,group_ride:Any platform,-0.013,negative
underused_type_group_ride_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,group_ride:local_maas_only,-0.051819314446302195,0.016584947249065677,0.0017812041628073331,-0.08432521373996757,-0.01931341515263682,14514,97,30,0.9004789938222346,0.8986777718233666,all,feature_x_platform_type,group_ride,True,group_ride:Local MaaS only,-0.052**,negative
underused_type_group_ride_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,group_ride:multi_platform,-0.08697622125715947,0.01748801271127643,6.576272959270333e-07,-0.12125209633243994,-0.052700346181879,14514,97,30,0.9004789938222346,0.8986777718233666,all,feature_x_platform_type,group_ride,True,group_ride:Multi-platform,-0.087***,negative
underused_type_group_ride_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,group_ride:large_aggregator_only,-0.015168690839880674,0.01595006826095643,0.34159877685588635,-0.04643025018231069,0.016092868502549342,14514,97,30,0.9004789938222346,0.8986777718233666,all,feature_x_platform_type,group_ride,False,group_ride:FreeNow only,-0.015,negative
underused_any_subscription_options_market_fe_all,ols_cluster,market_fe,ur_boxcox,subscription_options:platform_any,-0.2605558841294244,0.05469088432559278,1.896461016292773e-06,-0.3677480476902324,-0.15336372056861636,14514,97,30,0.7769298692263414,0.7738444423389377,all,feature_x_any_platform,subscription_options,True,subscription_options:Any platform,-0.261***,negative
underused_type_subscription_options_market_fe_all,ols_cluster,market_fe,ur_boxcox,subscription_options:local_maas_only,-0.22094400907179257,0.05425587561171064,4.655924936253745e-05,-0.3272835712204305,-0.11460444692315463,14514,97,30,0.7853033957375393,0.782303373320681,all,feature_x_platform_type,subscription_options,True,subscription_options:Local MaaS only,-0.221***,negative
